alarm_id,site_id,site_name,asset_id,asset_tag,alarm_code,alarm_description,severity,source,triggered_at,acknowledged_at,acknowledged_by,cleared_at,work_order_created,false_alarm,alarm_value,alarm_threshold,alarm_unit,notes
ALM-2025-0011,SITE-006,Mediclinic Sandton,ASSET-030,MS-HVAC-CH-001,HVAC-TEMP-HIGH,Theatre supply temp high,critical,bms,2025-03-20 06:25:00,2025-03-20 06:27:00,BCC Operator,2025-03-20 07:50:00,WO-2025-0234,FALSE,24,20,celsius,Hospital theatre - immediate response
ALM-2025-0012,SITE-006,Mediclinic Sandton,ASSET-031,MS-GEN-001,GEN-START-FAIL,Generator failed to start,critical,bms,2025-06-08 03:12:00,2025-06-08 03:14:00,BCC Operator,2025-06-08 03:30:00,WO-2025-0456,FALSE,0,1,start_success,Hospital on UPS - critical
ALM-2025-0013,SITE-002,Sandton City Office Tower,ASSET-004,SC-LIFT-001,LIFT-ENTRAP,Lift entrapment alarm,critical,lift,2025-05-12 16:28:00,2025-05-12 16:30:00,BCC Operator,2025-05-12 17:00:00,WO-2025-0423,FALSE,,,person_trapped,Emergency response
ALM-2025-0014,SITE-008,Standard Bank Centre,ASSET-040,SBC-ELEC-DB-001,ELEC-EARTH-LEAK,Earth leakage trip,major,bms,2025-02-28 10:12:00,2025-02-28 10:15:00,BCC Operator,2025-02-28 11:45:00,WO-2025-0189,FALSE,45,30,mA,Tenant equipment fault
ALM-2025-0015,SITE-008,Standard Bank Centre,ASSET-041,SBC-ELEC-UPS-001,UPS-BAT-LOW,UPS battery capacity low,major,bms,2025-04-18 02:28:00,2025-04-18 02:32:00,BCC Operator,2025-04-18 05:15:00,WO-2025-0345,FALSE,78,80,percent,Battery degradation
ALM-2025-0016,SITE-004,V&A Waterfront Retail,ASSET-015,VW-HVAC-AHU-003,HVAC-VSD-FAULT,VSD fault alarm,major,bms,2025-06-22 09:55:00,2025-06-22 10:05:00,BCC Operator,2025-06-22 14:15:00,WO-2025-0512,FALSE,,,fault_code,VSD showing age
ALM-2025-0017,SITE-004,V&A Waterfront Retail,ASSET-015,VW-HVAC-AHU-003,HVAC-VSD-FAULT,VSD fault alarm,major,bms,2025-08-14 14:25:00,2025-08-14 14:35:00,BCC Operator,2025-08-14 17:15:00,WO-2025-0634,FALSE,,,fault_code,Second VSD fault - replacement approved
ALM-2025-0018,SITE-003,Centurion Mall,ASSET-010,CM-HVAC-AHU-001,HVAC-VIB-WARN,Supply fan vibration warning,warning,bms,2025-11-12 07:40:00,2025-11-12 07:55:00,BCC Operator,2025-11-12 12:15:00,WO-2025-0912,FALSE,3.2,4.5,mm/s,Early warning - same unit type as failed AHU-002
ALM-2025-0019,SITE-001,Rosebank Towers,,FIRE-PANEL-01,FIRE-SMOKE-DET,Smoke detector activation,critical,fire,2025-07-15 11:30:00,2025-07-15 11:31:00,BCC Operator,2025-07-15 11:45:00,,TRUE,,,activation,False alarm - burnt toast in kitchen
ALM-2025-0020,SITE-002,Sandton City Office Tower,,FIRE-PANEL-01,FIRE-SMOKE-DET,Smoke detector activation,critical,fire,2025-09-22 14:15:00,2025-09-22 14:16:00,BCC Operator,2025-09-22 14:30:00,,TRUE,,,activation,False alarm - construction dust
